"","Fecha","Analizados","Pruebas","Confirmados_lab","Descartados_lab","Sospechosos","Confirmados","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","Recuperados","Activos","Hospitalizados.Activos","Ambulatorios.Activos","Decesos.Activos","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas","Positividad.acum","diasemana","Analizados.semana","Casos.semana","Confirmados.semana","hospitalizados.semana","Decesos.semana","Pruebas.semana","Sospechosos.semana","Recuperados.semana","Positividad.semanal","ISSSTESON","pctj_menores","MUNICIPIO.x","casos.hmo","MUNICIPIO.y","decesos.hmo","casos.resto","decesos.resto","POB","mortalidad","incidencia","inciact"
"11",2020-06-27,16697,11589,6944,4645,5108,6944,3406,3538,711,297,414,5079,1865,4456,2053,105,5738,532,104,391,37,2302,387,3787,0,685,26,0,0,159,11,6,1,0,0,3,0,0,0,12,0,293,2,1199,109,481,181,59.9,"sábado",2886,1985,1985,626,292,2717,169,1406,73.1,117,0.6,"Hermosillo",549,"Hermosillo",53,1436,239,2944840,99.2,67.4,18.1
"12",2020-07-04,19932,14659,9094,5565,5273,9094,4521,4573,899,375,524,6708,2386,5530,2661,129,7578,646,121,496,29,3029,522,5091,0,760,38,0,0,201,12,8,1,0,0,3,0,0,0,24,0,388,4,1297,65,441,119,62,"sábado",3235,2150,2150,521,188,3070,165,1840,70,75,1.1,"Hermosillo",631,"Hermosillo",45,1519,143,2944840,63.8,73,21.9
"13",2020-07-11,23424,17984,11491,6493,5440,11491,5765,5726,1157,484,673,8453,3038,6671,3388,151,9700,662,135,499,28,3857,715,6421,0,943,43,0,0,257,16,8,2,0,0,3,0,0,0,23,0,372,1,1456,86,546,171,63.9,"sábado",3492,2397,2397,652,258,3325,167,2122,72.1,183,1,"Hermosillo",1078,"Hermosillo",69,1319,189,2944840,87.6,81.4,22.5
"14",2020-07-18,25848,22050,14261,7789,3798,14261,7198,7063,1385,578,807,10518,3743,7829,4137,176,12168,734,135,573,26,4619,883,7879,0,1421,53,0,0,329,16,8,2,0,0,3,0,0,0,19,0,397,3,1726,80,628,145,64.7,"sábado",2424,2770,2770,705,228,4066,-1642,2468,68.1,478,0.7,"Hermosillo",1822,"Hermosillo",72,948,156,2944840,77.4,94.1,24.9
"15",2020-07-25,28162,25196,16365,8831,2966,16365,8262,8103,1710,708,1002,12068,4297,8893,4759,185,14113,559,141,401,17,5167,1103,9143,0,1676,97,0,0,364,16,10,2,0,0,3,0,0,0,23,0,303,2,1253,111,525,212,65,"sábado",2314,2104,2104,554,325,3146,-832,1945,66.9,255,1.1,"Hermosillo",1027,"Hermosillo",135,1077,190,2944840,110.4,71.4,19
"16",2020-08-01,30057,27659,17890,9769,2398,17890,9042,8848,1949,819,1130,13268,4622,9519,5128,201,15376,578,122,443,13,5501,1216,10054,0,1926,129,0,0,394,24,10,2,0,0,3,0,0,0,11,0,259,2,935,69,320,168,64.7,"sábado",1895,1525,1525,325,239,2463,-568,1263,61.9,250,0.7,"Hermosillo",944,"Hermosillo",86,581,153,2944840,81.2,51.8,19.6
"17",2020-08-08,32091,29767,18987,10780,2324,18987,9610,9377,2251,953,1298,14089,4898,10069,5453,214,16110,639,83,543,13,5821,1394,10719,0,2022,154,0,0,409,27,12,2,0,0,3,0,1,0,12,0,194,3,620,98,271,201,63.8,"sábado",2034,1097,1097,276,302,2108,-74,734,52,96,1.1,"Hermosillo",533,"Hermosillo",165,564,137,2944840,102.6,37.3,21.7
"18",2020-08-15,34374,32026,19930,12096,2348,19930,10091,9839,2372,1006,1366,14799,5131,10529,5721,230,16989,580,72,497,11,6146,1489,11274,0,2068,161,0,0,420,30,16,2,1,0,4,0,1,0,9,0,178,3,555,37,201,81,62.2,"sábado",2283,943,943,233,121,2259,24,879,41.7,46,1,"Hermosillo",411,"Hermosillo",46,532,75,2944840,41.1,32,19.7
"19",2020-08-22,36645,34268,20692,13576,2377,20692,10519,10173,2485,1051,1434,15393,5299,10951,6107,260,17602,611,72,533,6,6355,1558,11776,0,2107,166,0,0,431,31,17,3,1,0,4,0,1,0,16,0,159,3,433,38,154,72,60.4,"sábado",2271,762,762,168,113,2242,29,613,34,39,2.1,"Hermosillo",373,"Hermosillo",50,389,63,2944840,38.4,25.9,20.7
"20",2020-08-29,38947,36416,21330,15086,2531,21330,10865,10465,2607,1098,1509,15905,5425,11282,6266,275,18235,498,56,432,10,6508,1602,12209,0,2146,167,0,0,444,31,17,3,1,0,4,0,1,0,12,0,120,3,377,39,129,80,58.6,"sábado",2302,638,638,126,122,2148,154,633,29.7,39,1.9,"Hermosillo",279,"Hermosillo",67,359,55,2944840,41.4,21.7,16.9
"21",2020-09-05,41051,38754,22162,16592,2297,22162,11332,10830,2661,1122,1539,16646,5516,11498,6373,279,18987,522,24,490,8,6630,1643,12875,0,2185,167,0,0,446,31,18,3,3,0,4,0,1,0,21,0,181,0,489,25,141,29,57.2,"sábado",2104,832,832,91,54,2338,-234,752,35.6,39,2.5,"Hermosillo",357,"Hermosillo",19,475,35,2944840,18.3,28.3,17.7
"22",2020-09-12,42772,40838,23056,17782,1934,23056,11815,11241,2769,1177,1592,17457,5599,11690,6751,291,19785,507,33,469,5,6737,1676,13630,0,2210,168,0,0,453,39,18,3,3,0,4,0,1,0,16,0,187,2,548,38,143,68,56.5,"sábado",1721,894,894,83,108,2084,-363,798,42.9,25,1.8,"Hermosillo",259,"Hermosillo",40,635,68,2944840,36.7,30.4,17.2
"23",2020-09-19,44415,42611,23748,18863,1804,23748,12166,11582,2793,1189,1604,18087,5661,11852,6824,293,20539,418,34,382,2,6819,1688,14206,0,2236,168,0,0,461,39,18,3,3,0,4,0,1,0,12,0,161,1,412,7,107,16,55.7,"sábado",1643,692,692,62,24,1773,-130,754,39,26,1.7,"Hermosillo",265,"Hermosillo",1,427,23,2944840,8.1,23.5,14.2
"24",2020-09-26,46409,44488,24381,20107,1921,24381,12513,11868,2849,1205,1644,18642,5739,12037,6913,293,21068,469,35,429,5,6941,1721,14672,0,2270,168,0,0,471,39,18,3,4,0,4,0,1,0,13,0,146,0,363,17,111,39,54.8,"sábado",1994,633,633,78,56,1877,117,529,33.7,34,2.1,"Hermosillo",272,"Hermosillo",15,361,41,2944840,19,21.5,15.9
"25",2020-10-03,48145,46251,24924,21327,1894,24924,12815,12109,2884,1216,1668,19121,5803,12208,6993,295,21569,475,27,444,4,7032,1742,15085,0,2299,168,0,0,480,39,19,3,4,0,4,0,1,0,12,0,122,0,300,12,109,23,53.9,"sábado",1736,543,543,64,35,1763,-27,501,30.8,29,2.2,"Hermosillo",221,"Hermosillo",13,322,22,2944840,11.9,18.4,16.1
"26",2020-10-10,63914,48610,25442,23168,4175,35396,19010,16386,2975,1260,1715,29471,5925,12967,7209,310,31839,588,33,549,6,7144,1777,25261,0,2465,178,0,0,490,43,20,3,11,2,4,0,1,0,388,0,2278,1,6008,24,1798,66,52.3,"sábado",15769,10472,518,122,91,2359,2281,10270,22,166,3.7,"Hermosillo",5538,"Hermosillo",18,4934,73,2944840,30.9,355.6,20
"27",2020-10-17,65920,49945,25913,24032,4343,36358,19560,16798,3024,1278,1746,30351,6007,13192,7303,312,32814,526,35,485,6,7279,1807,26042,0,2507,185,0,0,495,43,20,3,10,2,4,0,1,0,46,0,217,0,531,15,168,34,51.9,"sábado",2006,962,471,82,49,1335,168,975,35.3,42,4.8,"Hermosillo",508,"Hermosillo",13,454,36,2944840,16.6,32.7,17.9
"28",2020-10-24,67807,51525,26543,24982,4288,37337,20085,17252,3082,1303,1779,31230,6107,13413,7420,317,33710,551,34,511,6,7440,1841,26753,0,2605,185,0,0,503,48,20,3,11,2,4,0,1,0,21,0,213,0,586,15,159,43,51.5,"sábado",1887,979,630,100,58,1580,-55,896,39.9,98,2.1,"Hermosillo",590,"Hermosillo",12,389,46,2944840,19.7,33.2,18.7
"29",2020-10-31,69646,52919,27144,25775,4350,38313,20642,17671,3137,1323,1814,32117,6196,13634,7525,320,34555,626,33,588,5,7594,1879,27504,0,2654,185,0,0,523,48,20,3,13,2,4,0,1,0,24,0,245,0,538,16,169,39,51.3,"sábado",1839,976,601,89,55,1394,62,845,43.1,49,2.5,"Hermosillo",483,"Hermosillo",9,493,46,2944840,18.7,33.1,21.3
