"CVE_MUN","NOM_MUN","2022-01-01","2022-01-02","2022-01-03","2022-01-04","2022-01-05","2022-01-06","2022-01-07","2022-01-08","2022-01-09","2022-01-10","2022-01-11","2022-01-12","2022-01-13","2022-01-14","2022-01-15","2022-01-16","2022-01-17","2022-01-18","2022-01-19","2022-01-20","2022-01-21","2022-01-22","2022-01-23","2022-01-24","2022-01-25","2022-01-26","2022-01-27","2022-01-28","2022-01-29","2022-01-30","2022-01-31","2022-02-01","2022-02-02","2022-02-03","2022-02-04","2022-02-05","2022-02-06","2022-02-07","2022-02-08","2022-02-09","2022-02-10","2022-02-11","2022-02-12","2022-02-13","2022-02-14","2022-02-15","2022-02-16","2022-02-17","2022-02-18","2022-02-19","2022-02-20","2022-02-21","2022-02-22","2022-02-23","2022-02-24","2022-02-25","2022-02-26","2022-02-27","2022-02-28","2022-03-01","2022-03-02","2022-03-03","2022-03-04","2022-03-05","2022-03-06","2022-03-07","2022-03-08","2022-03-09","2022-03-10","2022-03-11","2022-03-12","2022-03-13","2022-03-14","2022-03-15","2022-03-16","2022-03-17","2022-03-18","2022-03-19","2022-03-20","2022-03-21","2022-03-22","2022-03-23","2022-03-24","2022-03-25","2022-03-26","2022-03-27","2022-03-28","2022-03-29","2022-03-30","2022-03-31","2022-04-01","2022-04-02","2022-04-03","2022-04-04","2022-04-05","2022-04-06","2022-04-07","2022-04-08","2022-04-09","2022-04-10","2022-04-11","2022-04-12","2022-04-13","2022-04-14","2022-04-15","2022-04-16","2022-04-17","2022-04-18","2022-04-19","2022-04-20","2022-04-21","2022-04-22","2022-04-23","2022-04-24","2022-04-25","2022-04-26","2022-04-27","2022-04-28","2022-04-29","2022-04-30","2022-05-01","2022-05-02","2022-05-03","2022-05-04","2022-05-05","2022-05-06","2022-05-07","2022-05-08","2022-05-09","2022-05-10","2022-05-11","2022-05-12","2022-05-13","2022-05-14","2022-05-15","2022-05-16","2022-05-17","2022-05-18","2022-05-19","2022-05-20","2022-05-21","2022-05-22","2022-05-23","2022-05-24","2022-05-25","2022-05-26","2022-05-27","2022-05-28","2022-05-29","2022-05-30","2022-05-31","2022-06-01","2022-06-02","2022-06-03","2022-06-04","2022-06-05","2022-06-06","2022-06-07","2022-06-08","2022-06-09","2022-06-10","2022-06-11","2022-06-12","2022-06-13","2022-06-14","2022-06-15","2022-06-16","2022-06-17","2022-06-18","2022-06-19","2022-06-20","2022-06-21","2022-06-22","2022-06-23","2022-06-24","2022-06-25","2022-06-26","2022-06-27","2022-06-28","2022-06-29","2022-06-30","2022-07-01","2022-07-02","2022-07-03","2022-07-04","2022-07-05","2022-07-06","2022-07-07","2022-07-08","2022-07-09","2022-07-10","2022-07-11","2022-07-12","2022-07-13","2022-07-14","2022-07-15","2022-07-16","2022-07-17","2022-07-18","2022-07-19","2022-07-20","2022-07-21","2022-07-22","2022-07-23","2022-07-24","2022-07-25","2022-07-26","2022-07-27","2022-07-28","2022-07-29","2022-07-30","2022-07-31","2022-08-01","2022-08-02","2022-08-03","2022-08-04","2022-08-05","2022-08-06","2022-08-07","2022-08-08","2022-08-09","2022-08-10","2022-08-11","2022-08-12","2022-08-13","2022-08-14","2022-08-15","2022-08-16","2022-08-17","2022-08-18","2022-08-19","NA"
26025,"Empalme",0,1,7,8,19,9,12,14,9,21,27,19,34,31,3,10,24,36,34,44,33,16,1,29,33,28,11,25,10,4,21,28,18,19,8,2,1,2,12,5,12,7,2,3,9,4,7,6,9,3,0,7,4,4,5,5,1,0,2,1,0,1,4,1,0,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,2,1,1,0,0,0,1,2,1,1,1,0,4,5,5,7,12,2,1,8,15,5,18,9,11,3,6,21,11,14,13,9,6,1,10,14,9,11,9,2,3,9,6,9,2,0,0,2,10,7,8,10,4,1,0,3,2,0,0,0,0,2,2,2,2,2,0,0
26033,"Huatabampo",0,0,1,4,4,7,8,1,1,12,19,15,15,11,2,1,14,12,17,17,8,2,3,9,9,6,8,6,1,1,4,6,1,6,4,2,3,3,3,4,1,2,2,0,4,3,2,2,4,0,0,3,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,1,2,0,1,0,1,1,2,4,6,3,3,10,13,17,13,9,7,2,13,25,10,21,24,13,8,18,19,21,15,21,9,9,18,9,10,10,5,4,3,2,7,2,4,1,1,0,2,1,2,1,0,1,1,1,2,1,3,1,0,0,1,0,0,1,1,0
26036,"Magdalena",0,0,3,10,27,25,27,17,17,33,42,34,36,32,7,10,16,10,7,8,11,1,3,7,8,2,2,4,0,4,3,2,1,1,3,0,0,2,5,1,2,5,0,1,6,2,1,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,1,2,5,6,4,0,1,0,0,1,0,0,4,5,0,1,1,5,2,4,0,4,0,5,4,2,3,0,2,1,5,6,10,4,3,4,1,6,2,7,4,4,3,0,3,4,2,2,2,0,0,2,0,3,2,1,0
26041,"Nacozari de García",0,1,3,1,1,4,3,2,3,5,5,8,12,8,2,0,5,5,9,3,7,1,0,5,1,5,8,3,2,1,10,7,8,4,2,0,0,0,6,1,0,3,0,0,1,1,0,2,1,0,0,2,0,1,1,3,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,2,7,2,2,0,0,1,4,0,1,3,1,0,0,8,7,0,2,0,0,1,6,4,4,6,1,0,8,3,3,3,7,0,0,6,3,5,6,2,1,1,7,4,4,8,2,0,1,7,1,3,1,6,0,1,2,1,3,0,0,0,0,2,2,0,0,0,0
26043,"Nogales",0,1,19,44,49,66,86,58,66,178,168,203,186,174,84,191,212,165,158,255,239,154,97,269,124,77,127,62,19,26,99,43,40,27,13,9,3,27,24,24,7,8,3,2,9,4,2,0,5,8,45,45,50,6,40,3,1,2,3,1,1,2,0,0,2,25,49,67,51,0,0,0,0,1,0,0,0,2,1,0,1,1,1,1,0,0,0,2,3,1,0,0,0,2,6,0,1,2,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,2,1,0,9,4,2,2,2,0,1,10,11,7,7,8,4,1,4,13,10,23,13,4,8,29,30,51,31,19,19,4,39,61,64,72,64,23,7,72,107,91,79,70,11,5,76,83,125,66,74,12,9,66,69,92,61,46,7,2,37,65,44,36,36,14,0,26,46,32,39,31,3,1,16,20,21,19,15,4,0
26071,"Benito Juárez",0,0,1,2,0,5,9,2,6,8,21,5,11,9,0,0,1,7,5,21,11,1,0,2,2,6,1,6,0,0,8,5,3,5,4,0,1,2,8,2,1,0,0,0,1,0,0,0,1,0,1,6,2,1,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26013,"Banámichi",0,0,1,0,0,0,0,1,0,3,0,0,0,2,0,0,3,4,1,1,4,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,0,0,1,2,1,0,4,1,1,0,0,1,0,0,2,0,0,0,0,0,3,2,0,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26019,"Cananea",0,0,1,7,18,11,40,0,2,16,38,46,42,47,0,0,63,31,96,36,30,0,0,48,34,17,17,18,0,0,21,18,29,15,36,4,0,12,9,20,12,0,0,0,12,3,4,1,1,0,0,12,7,1,5,5,0,0,1,2,0,0,0,0,0,0,5,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,5,6,0,8,0,0,5,1,12,29,12,0,0,14,15,20,25,17,0,1,47,16,16,28,21,0,0,24,13,25,15,11,0,0,13,14,4,9,8,0,0,9,11,10,8,4,0,0,5,8,9,6,3,0,0,4,3,1,2,2,0,0,0,1,0,0,0,0
26026,"Etchojoa",0,0,1,1,2,2,4,2,2,3,6,9,8,9,5,1,22,10,10,3,7,0,0,5,4,9,5,4,0,4,7,5,4,2,2,1,1,1,7,2,1,2,1,0,1,2,0,2,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,2,2,0,0,2,2,1,5,4,1,2,4,4,7,2,5,1,1,11,6,9,4,5,4,3,2,3,3,4,4,2,0,4,2,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2,2,1,0,0
26029,"Guaymas",0,0,2,19,22,34,56,24,10,82,104,103,111,114,35,13,97,84,58,62,51,47,28,58,24,32,43,39,25,27,53,16,28,30,27,20,20,24,17,23,23,37,22,26,37,13,17,16,47,29,73,11,4,3,2,7,1,1,26,3,6,16,1,1,2,2,3,0,3,0,0,1,2,0,0,2,0,0,4,0,2,2,0,1,0,0,1,1,1,2,2,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,4,1,0,1,1,0,0,1,1,0,1,0,4,0,1,4,0,2,2,7,0,0,9,5,4,14,5,1,0,12,14,11,22,17,4,4,31,18,29,24,33,14,13,48,33,43,42,36,5,7,46,58,50,40,41,13,6,42,52,41,41,20,4,3,8,6,10,6,10,4,4,3,6,2,0,1,1,2,7,3,3,2,1,2,1,4,2,0,0,0,0
