"Estado","% Ocupación","Fecha","Tipo","Pob_Total"
"Sonora",8.8,2020-05-13,"Ventilador",2109152
"Sonora",11.79,2020-05-14,"Ventilador",2109152
"Sonora",14.66,2020-05-14,"General",2109152
"Sonora",40,2020-05-14,"UCI",2109152
"Sonora",39.39,2020-05-15,"UCI",2109152
"Sonora",16.94,2020-05-15,"General",2109152
"Sonora",13.18,2020-05-15,"Ventilador",2109152
"Sonora",21.57,2020-05-16,"General",2109152
"Sonora",18.87,2020-05-16,"Ventilador",2109152
"Sonora",37.93,2020-05-16,"UCI",2109152
"Sonora",24.17,2020-05-17,"General",2109152
"Sonora",51.35,2020-05-17,"UCI",2109152
"Sonora",16.31,2020-05-17,"Ventilador",2109152
"Sonora",19.94,2020-05-18,"General",2109152
"Sonora",18.5,2020-05-18,"Ventilador",2109152
"Sonora",55.26,2020-05-18,"UCI",2109152
"Sonora",20.1,2020-05-19,"Ventilador",2109152
"Sonora",56.41,2020-05-19,"UCI",2109152
"Sonora",20.76,2020-05-19,"General",2109152
"Sonora",25.66,2020-05-20,"Ventilador",2109152
"Sonora",62.5,2020-05-20,"UCI",2109152
"Sonora",22.62,2020-05-20,"General",2109152
"Sonora",27.58,2020-05-21,"General",2109152
"Sonora",56.81,2020-05-21,"UCI",2109152
"Sonora",23.03,2020-05-21,"Ventilador",2109152
"Sonora",53.06,2020-05-22,"UCI",2109152
"Sonora",21.07,2020-05-22,"Ventilador",2109152
"Sonora",27.28,2020-05-22,"General",2109152
"Sonora",25.65,2020-05-23,"Ventilador",2109152
"Sonora",26.58,2020-05-23,"General",2109152
"Sonora",54.54,2020-05-23,"UCI",2109152
"Sonora",60.86,2020-05-24,"UCI",2109152
"Sonora",30.88,2020-05-24,"General",2109152
"Sonora",32.33,2020-05-24,"Ventilador",2109152
"Sonora",33.33,2020-05-25,"Ventilador",2109152
"Sonora",31.79,2020-05-25,"General",2109152
"Sonora",69.38,2020-05-25,"UCI",2109152
"Sonora",33.02,2020-05-26,"General",2109152
"Sonora",34.28,2020-05-26,"Ventilador",2109152
"Sonora",64.58,2020-05-26,"UCI",2109152
"Sonora",35.82,2020-05-27,"Ventilador",2109152
"Sonora",33.69,2020-05-27,"General",2109152
"Sonora",53.33,2020-05-27,"UCI",2109152
"Sonora",57.14,2020-05-28,"UCI",2109152
