"","Fecha","CVEGEO","MUNICIPIO","CASOS_SINTOMAS"
"139",2020-01-02,26059,"Santa Cruz",0
"140",2020-01-02,26009,"Bacanora",0
"141",2020-01-02,26050,"Rayón",0
"142",2020-01-02,26053,"San Felipe de Jesús",0
"143",2020-01-02,26061,"Soyopa",0
"144",2020-01-02,26062,"Suaqui Grande",0
"145",2020-01-02,26054,"San Javier",0
"146",2020-01-02,26057,"San Pedro de la Cueva",0
"147",2020-01-03,26018,"Cajeme",0
"148",2020-01-03,26030,"Hermosillo",0
"149",2020-01-03,26055,"San Luis Río Colorado",0
"150",2020-01-03,26058,"Santa Ana",0
"151",2020-01-03,26042,"Navojoa",0
"152",2020-01-03,26043,"Nogales",0
"153",2020-01-03,26011,"Bacoachi",0
"154",2020-01-03,26002,"Agua Prieta",0
"155",2020-01-03,26036,"Magdalena",0
"156",2020-01-03,26048,"Puerto Peñasco",0
"157",2020-01-03,26029,"Guaymas",0
"158",2020-01-03,26999,"Sin municipio registrado",0
"159",2020-01-03,26025,"Empalme",0
"160",2020-01-03,26033,"Huatabampo",0
"161",2020-01-03,26047,"Pitiquito",0
"162",2020-01-03,26017,"Caborca",0
"163",2020-01-03,26004,"Altar",0
"164",2020-01-03,26012,"Bácum",0
"165",2020-01-03,26072,"San Ignacio Río Muerto",0
"166",2020-01-03,26071,"Benito Juárez",0
"167",2020-01-03,26052,"Sahuaripa",0
"168",2020-01-03,26003,"Álamos",0
"169",2020-01-03,26037,"Mazatán",0
"170",2020-01-03,26049,"Quiriego",0
"171",2020-01-03,26066,"Ures",0
"172",2020-01-03,26027,"Fronteras",0
"173",2020-01-03,26007,"Átil",0
"174",2020-01-03,26019,"Cananea",0
"175",2020-01-03,26034,"Huépac",0
"176",2020-01-03,26041,"Nacozari de García",0
"177",2020-01-03,26014,"Baviácora",0
"178",2020-01-03,26026,"Etchojoa",0
"179",2020-01-03,26064,"Trincheras",0
"180",2020-01-03,26060,"Sáric",0
"181",2020-01-03,26067,"Villa Hidalgo",0
"182",2020-01-03,26045,"Opodepe",0
"183",2020-01-03,26008,"Bacadéhuachi",0
"184",2020-01-03,26070,"General Plutarco Elías Calles",0
"185",2020-01-03,26013,"Banámichi",0
"186",2020-01-03,26068,"Villa Pesqueira",0
"187",2020-01-03,26001,"Aconchi",0
"188",2020-01-03,26039,"Naco",0
"189",2020-01-03,26044,"Ónavas",0
"190",2020-01-03,26035,"Imuris",0
"191",2020-01-03,26020,"Carbó",0
"192",2020-01-03,26038,"Moctezuma",0
"193",2020-01-03,26065,"Tubutama",0
"194",2020-01-03,26016,"Benjamín Hill",0
"195",2020-01-03,26023,"Cumpas",0
"196",2020-01-03,26015,"Bavispe",0
"197",2020-01-03,26032,"Huásabas",0
"198",2020-01-03,26046,"Oquitoa",0
"199",2020-01-03,26005,"Arivechi",0
"200",2020-01-03,26051,"Rosario",0
"201",2020-01-03,26006,"Arizpe",0
"202",2020-01-03,26056,"San Miguel de Horcasitas",0
"203",2020-01-03,26022,"Cucurpe",0
"204",2020-01-03,26010,"Bacerac",0
"205",2020-01-03,26040,"Nácori Chico",0
"206",2020-01-03,26021,"La Colorada",0
"207",2020-01-03,26031,"Huachinera",0
"208",2020-01-03,26024,"Divisaderos",0
"209",2020-01-03,26028,"Granados",0
"210",2020-01-03,26069,"Yécora",0
"211",2020-01-03,26063,"Tepache",0
"212",2020-01-03,26059,"Santa Cruz",0
"213",2020-01-03,26009,"Bacanora",0
"214",2020-01-03,26050,"Rayón",0
"215",2020-01-03,26053,"San Felipe de Jesús",0
"216",2020-01-03,26061,"Soyopa",0
"217",2020-01-03,26062,"Suaqui Grande",0
"218",2020-01-03,26054,"San Javier",0
"219",2020-01-03,26057,"San Pedro de la Cueva",0
"220",2020-01-04,26018,"Cajeme",0
"221",2020-01-04,26030,"Hermosillo",0
"222",2020-01-04,26055,"San Luis Río Colorado",0
"223",2020-01-04,26058,"Santa Ana",0
"224",2020-01-04,26042,"Navojoa",0
"225",2020-01-04,26043,"Nogales",0
"226",2020-01-04,26011,"Bacoachi",0
"227",2020-01-04,26002,"Agua Prieta",0
"228",2020-01-04,26036,"Magdalena",0
