"","Fecha","CVEGEO","MUNICIPIO","CASOS_ACTIVOS"
"139",2020-04-13,26059,"Santa Cruz",0
"140",2020-04-13,26069,"Yécora",0
"141",2020-04-13,26009,"Bacanora",0
"142",2020-04-13,26062,"Suaqui Grande",0
"143",2020-04-13,26054,"San Javier",0
"144",2020-04-13,26061,"Soyopa",0
"145",2020-04-13,26007,"Átil",0
"146",2020-04-13,26057,"San Pedro de la Cueva",0
"147",2020-04-14,26002,"Agua Prieta",0
"148",2020-04-14,26008,"Bacadéhuachi",0
"149",2020-04-14,26012,"Bácum",0
"150",2020-04-14,26014,"Baviácora",0
"151",2020-04-14,26017,"Caborca",1
"152",2020-04-14,26018,"Cajeme",3
"153",2020-04-14,26019,"Cananea",0
"154",2020-04-14,26025,"Empalme",0
"155",2020-04-14,26026,"Etchojoa",0
"156",2020-04-14,26027,"Fronteras",0
"157",2020-04-14,26029,"Guaymas",0
"158",2020-04-14,26030,"Hermosillo",11
"159",2020-04-14,26033,"Huatabampo",3
"160",2020-04-14,26034,"Huépac",0
"161",2020-04-14,26036,"Magdalena",1
"162",2020-04-14,26041,"Nacozari de García",0
"163",2020-04-14,26042,"Navojoa",1
"164",2020-04-14,26043,"Nogales",0
"165",2020-04-14,26045,"Opodepe",0
"166",2020-04-14,26047,"Pitiquito",0
"167",2020-04-14,26048,"Puerto Peñasco",0
"168",2020-04-14,26052,"Sahuaripa",0
"169",2020-04-14,26055,"San Luis Río Colorado",12
"170",2020-04-14,26058,"Santa Ana",0
"171",2020-04-14,26060,"Sáric",1
"172",2020-04-14,26066,"Ures",0
"173",2020-04-14,26067,"Villa Hidalgo",0
"174",2020-04-14,26999,"Sin municipio registrado",0
"175",2020-04-14,26070,"General Plutarco Elías Calles",0
"176",2020-04-14,26013,"Banámichi",0
"177",2020-04-14,26003,"Álamos",0
"178",2020-04-14,26004,"Altar",0
"179",2020-04-14,26039,"Naco",0
"180",2020-04-14,26001,"Aconchi",0
"181",2020-04-14,26035,"Imuris",0
"182",2020-04-14,26044,"Ónavas",0
"183",2020-04-14,26020,"Carbó",0
"184",2020-04-14,26038,"Moctezuma",0
"185",2020-04-14,26068,"Villa Pesqueira",0
"186",2020-04-14,26071,"Benito Juárez",0
"187",2020-04-14,26016,"Benjamín Hill",0
"188",2020-04-14,26065,"Tubutama",0
"189",2020-04-14,26023,"Cumpas",0
"190",2020-04-14,26032,"Huásabas",0
"191",2020-04-14,26015,"Bavispe",0
"192",2020-04-14,26064,"Trincheras",0
"193",2020-04-14,26072,"San Ignacio Río Muerto",0
"194",2020-04-14,26005,"Arivechi",0
"195",2020-04-14,26037,"Mazatán",0
"196",2020-04-14,26046,"Oquitoa",0
"197",2020-04-14,26051,"Rosario",0
"198",2020-04-14,26006,"Arizpe",0
"199",2020-04-14,26011,"Bacoachi",0
"200",2020-04-14,26022,"Cucurpe",0
"201",2020-04-14,26056,"San Miguel de Horcasitas",0
"202",2020-04-14,26040,"Nácori Chico",0
"203",2020-04-14,26049,"Quiriego",0
"204",2020-04-14,26010,"Bacerac",0
"205",2020-04-14,26031,"Huachinera",0
"206",2020-04-14,26021,"La Colorada",0
"207",2020-04-14,26028,"Granados",0
"208",2020-04-14,26063,"Tepache",0
"209",2020-04-14,26024,"Divisaderos",0
"210",2020-04-14,26050,"Rayón",0
"211",2020-04-14,26053,"San Felipe de Jesús",0
"212",2020-04-14,26059,"Santa Cruz",0
"213",2020-04-14,26069,"Yécora",0
"214",2020-04-14,26009,"Bacanora",0
"215",2020-04-14,26062,"Suaqui Grande",0
"216",2020-04-14,26054,"San Javier",0
"217",2020-04-14,26061,"Soyopa",0
"218",2020-04-14,26007,"Átil",0
"219",2020-04-14,26057,"San Pedro de la Cueva",0
"220",2020-04-15,26002,"Agua Prieta",0
"221",2020-04-15,26008,"Bacadéhuachi",0
"222",2020-04-15,26012,"Bácum",0
"223",2020-04-15,26014,"Baviácora",0
"224",2020-04-15,26017,"Caborca",3
"225",2020-04-15,26018,"Cajeme",3
"226",2020-04-15,26019,"Cananea",0
"227",2020-04-15,26025,"Empalme",0
"228",2020-04-15,26026,"Etchojoa",0
"229",2020-04-15,26027,"Fronteras",0
"230",2020-04-15,26029,"Guaymas",0
"231",2020-04-15,26030,"Hermosillo",7
"232",2020-04-15,26033,"Huatabampo",3
"233",2020-04-15,26034,"Huépac",0
"234",2020-04-15,26036,"Magdalena",0
"235",2020-04-15,26041,"Nacozari de García",0
"236",2020-04-15,26042,"Navojoa",0
"237",2020-04-15,26043,"Nogales",0
"238",2020-04-15,26045,"Opodepe",0
"239",2020-04-15,26047,"Pitiquito",0
"240",2020-04-15,26048,"Puerto Peñasco",0
"241",2020-04-15,26052,"Sahuaripa",0
"242",2020-04-15,26055,"San Luis Río Colorado",9
"243",2020-04-15,26058,"Santa Ana",0
"244",2020-04-15,26060,"Sáric",2
"245",2020-04-15,26066,"Ures",0
"246",2020-04-15,26067,"Villa Hidalgo",0
"247",2020-04-15,26999,"Sin municipio registrado",0
"248",2020-04-15,26070,"General Plutarco Elías Calles",0
"249",2020-04-15,26013,"Banámichi",0
"250",2020-04-15,26003,"Álamos",0
"251",2020-04-15,26004,"Altar",0
"252",2020-04-15,26039,"Naco",0
"253",2020-04-15,26001,"Aconchi",0
"254",2020-04-15,26035,"Imuris",0
"255",2020-04-15,26044,"Ónavas",0
"256",2020-04-15,26020,"Carbó",0
"257",2020-04-15,26038,"Moctezuma",0
"258",2020-04-15,26068,"Villa Pesqueira",0
"259",2020-04-15,26071,"Benito Juárez",0
"260",2020-04-15,26016,"Benjamín Hill",0
"261",2020-04-15,26065,"Tubutama",0
"262",2020-04-15,26023,"Cumpas",0
"263",2020-04-15,26032,"Huásabas",0
"264",2020-04-15,26015,"Bavispe",0
"265",2020-04-15,26064,"Trincheras",0
"266",2020-04-15,26072,"San Ignacio Río Muerto",0
"267",2020-04-15,26005,"Arivechi",0
"268",2020-04-15,26037,"Mazatán",0
"269",2020-04-15,26046,"Oquitoa",0
"270",2020-04-15,26051,"Rosario",0
"271",2020-04-15,26006,"Arizpe",0
"272",2020-04-15,26011,"Bacoachi",0
"273",2020-04-15,26022,"Cucurpe",0
"274",2020-04-15,26056,"San Miguel de Horcasitas",0
"275",2020-04-15,26040,"Nácori Chico",0
"276",2020-04-15,26049,"Quiriego",0
"277",2020-04-15,26010,"Bacerac",0
"278",2020-04-15,26031,"Huachinera",0
"279",2020-04-15,26021,"La Colorada",0
"280",2020-04-15,26028,"Granados",0
"281",2020-04-15,26063,"Tepache",0
"282",2020-04-15,26024,"Divisaderos",0
"283",2020-04-15,26050,"Rayón",0
"284",2020-04-15,26053,"San Felipe de Jesús",0
"285",2020-04-15,26059,"Santa Cruz",0
"286",2020-04-15,26069,"Yécora",0
"287",2020-04-15,26009,"Bacanora",0
"288",2020-04-15,26062,"Suaqui Grande",0
"289",2020-04-15,26054,"San Javier",0
"290",2020-04-15,26061,"Soyopa",0
"291",2020-04-15,26007,"Átil",0
"292",2020-04-15,26057,"San Pedro de la Cueva",0
"293",2020-04-16,26002,"Agua Prieta",0
"294",2020-04-16,26008,"Bacadéhuachi",0
