"CVE_MUN","NOM_MUN","2022-01-01","2022-01-02","2022-01-03","2022-01-04","2022-01-05","2022-01-06","2022-01-07","2022-01-08","2022-01-09","2022-01-10","2022-01-11","2022-01-12","2022-01-13","2022-01-14","2022-01-15","2022-01-16","2022-01-17","2022-01-18","2022-01-19","2022-01-20","2022-01-21","2022-01-22","2022-01-23","2022-01-24","2022-01-25","2022-01-26","2022-01-27","2022-01-28","2022-01-29","2022-01-30","2022-01-31","2022-02-01","2022-02-02","2022-02-03","2022-02-04","2022-02-05","2022-02-06","2022-02-07","2022-02-08","2022-02-09","2022-02-10","2022-02-11","2022-02-12","2022-02-13","2022-02-14","2022-02-15","2022-02-16","2022-02-17","2022-02-18","2022-02-19","2022-02-20","2022-02-21","2022-02-22","2022-02-23","2022-02-24","2022-02-25","2022-02-26","2022-02-27","2022-02-28","2022-03-01","2022-03-02","2022-03-03","2022-03-04","2022-03-05","2022-03-06","2022-03-07","2022-03-08","2022-03-09","2022-03-10","2022-03-11","2022-03-12","2022-03-13","2022-03-14","2022-03-15","2022-03-16","2022-03-17","2022-03-18","2022-03-19","2022-03-20","2022-03-21","2022-03-22","2022-03-23","2022-03-24","2022-03-25","2022-03-26","2022-03-27","2022-03-28","2022-03-29","2022-03-30","2022-03-31","2022-04-01","2022-04-02","2022-04-03","2022-04-04","2022-04-05","2022-04-06","2022-04-07","2022-04-08","2022-04-09","2022-04-10","2022-04-11","2022-04-12","2022-04-13","2022-04-14","2022-04-15","2022-04-16","2022-04-17","2022-04-18","2022-04-19","2022-04-20","2022-04-21","2022-04-22","2022-04-23","2022-04-24","2022-04-25","2022-04-26","2022-04-27","2022-04-28","2022-04-29","2022-04-30","2022-05-01","2022-05-02","2022-05-03","2022-05-04","2022-05-05","2022-05-06","2022-05-07","2022-05-08","2022-05-09","2022-05-10","2022-05-11","2022-05-12","2022-05-13","2022-05-14","2022-05-15","2022-05-16","2022-05-17","2022-05-18","2022-05-19","2022-05-20","2022-05-21","2022-05-22","2022-05-23","2022-05-24","2022-05-25","2022-05-26","2022-05-27","2022-05-28","2022-05-29","2022-05-30","2022-05-31","2022-06-01","2022-06-02","2022-06-03","2022-06-04","2022-06-05","2022-06-06","2022-06-07","2022-06-08","2022-06-09","2022-06-10","2022-06-11","2022-06-12","2022-06-13","2022-06-14","2022-06-15","2022-06-16","2022-06-17","2022-06-18","2022-06-19","2022-06-20","2022-06-21","2022-06-22","2022-06-23","2022-06-24","2022-06-25","2022-06-26","2022-06-27","2022-06-28","2022-06-29","2022-06-30","2022-07-01","2022-07-02","2022-07-03","2022-07-04","2022-07-05","2022-07-06","2022-07-07","2022-07-08","2022-07-09","2022-07-10","2022-07-11","2022-07-12","2022-07-13","2022-07-14","2022-07-15","2022-07-16","2022-07-17","2022-07-18","2022-07-19","2022-07-20","2022-07-21","2022-07-22","2022-07-23","2022-07-24","2022-07-25","2022-07-26","2022-07-27","2022-07-28","2022-07-29","2022-07-30","2022-07-31","2022-08-01","2022-08-02","2022-08-03","2022-08-04","2022-08-05","2022-08-06","2022-08-07","2022-08-08","2022-08-09","2022-08-10","2022-08-11","2022-08-12","2022-08-13","2022-08-14","2022-08-15","2022-08-16","2022-08-17","2022-08-18","2022-08-19","NA"
26025,"Empalme",27,10,15,12,10,14,8,21,18,33,19,29,22,32,22,35,29,27,21,25,15,20,15,37,16,11,11,17,19,22,18,11,7,2,1,4,13,9,9,3,17,2,7,3,3,2,3,7,6,1,6,1,6,1,1,3,0,0,6,5,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,4,0,0,0,0,1,0,0,1,0,1,3,2,2,2,4,3,8,5,4,7,2,14,10,11,9,11,11,3,6,16,18,10,5,17,4,6,12,9,7,14,5,5,6,9,6,5,2,2,3,3,10,5,5,10,4,1,1,1,1,2,0,0,0,1,2,2,2,1,2,0,0,0
26026,"Etchojoa",3,2,3,5,5,3,2,6,6,13,2,13,6,6,12,4,7,6,4,5,6,4,5,4,3,4,4,3,3,1,4,1,3,2,2,2,7,1,1,1,1,1,1,1,0,0,1,0,1,1,2,1,0,0,1,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1,2,1,0,3,2,6,3,3,1,4,5,5,7,2,5,8,4,5,6,4,5,2,4,2,4,0,6,4,0,4,0,1,2,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0
26029,"Guaymas",22,24,42,45,36,53,42,70,85,118,73,66,71,53,77,57,39,40,27,47,55,70,35,48,36,11,22,37,34,27,48,21,8,24,16,31,23,31,14,15,23,35,22,34,33,15,2,6,47,24,76,9,7,7,2,0,5,4,21,7,1,13,1,2,2,3,1,0,0,2,0,0,0,1,0,1,0,1,4,1,2,1,0,0,1,2,1,2,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,3,1,0,2,0,0,0,0,1,2,0,0,1,3,2,0,1,3,3,2,5,3,3,5,4,5,7,6,8,4,8,12,9,12,15,24,14,17,13,17,25,19,26,41,24,20,29,41,43,40,20,33,25,44,44,23,25,37,17,11,40,60,33,42,13,9,8,8,5,4,5,4,4,4,3,0,2,1,3,3,6,4,1,1,0,3,2,0,2,0,0,0,0,0
26030,"Hermosillo",318,311,443,381,400,405,478,492,547,718,526,413,374,377,507,461,614,409,324,440,414,511,435,479,403,355,339,299,311,275,304,272,168,126,135,158,130,142,146,115,104,74,98,110,85,69,67,47,57,58,50,43,37,32,38,37,39,27,28,21,26,17,21,20,23,15,9,18,15,13,4,4,11,9,3,5,6,3,4,7,7,6,1,13,11,4,6,3,1,4,0,5,1,6,5,3,4,0,2,1,1,1,1,3,5,3,6,8,2,0,1,1,4,0,2,2,1,0,3,1,3,1,2,2,0,0,1,2,3,2,2,3,2,8,4,3,3,1,2,4,13,9,10,6,7,4,5,14,19,26,26,25,23,27,35,44,56,45,40,34,62,55,76,77,72,65,70,70,121,164,223,141,106,97,127,147,234,215,168,148,136,164,228,234,308,247,190,223,187,273,311,323,271,209,172,187,151,231,251,150,112,86,94,99,105,127,65,62,67,61,91,109,120,87,76,44,61,63,82,99,72,57,61,34,51,64,62,52,18,8,1,0
26033,"Huatabampo",2,10,5,5,7,4,9,12,22,13,7,11,11,7,11,12,10,7,5,9,6,4,3,10,6,6,1,5,0,2,3,7,3,3,3,5,2,1,5,3,0,1,3,2,0,3,2,3,1,2,2,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,2,7,1,3,5,8,7,12,11,9,9,9,10,10,15,19,19,21,11,23,8,16,20,14,17,16,17,13,8,11,14,3,5,2,2,6,3,3,0,3,1,0,1,1,1,1,0,1,1,2,1,1,3,1,0,0,1,0,1,1,0,0,0
26035,"Imuris",1,2,0,0,0,1,2,2,4,3,3,2,3,1,1,0,1,3,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26036,"Magdalena",13,22,36,22,23,21,26,32,38,37,25,16,14,11,10,4,9,6,4,6,6,6,4,3,5,1,2,5,1,2,5,2,0,2,1,2,0,1,6,2,4,2,1,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,0,2,1,3,5,1,3,3,0,0,1,1,1,0,3,1,6,0,1,2,4,1,2,0,3,3,6,1,4,2,2,3,7,3,10,1,5,3,3,2,10,7,2,2,2,2,1,3,2,3,1,0,1,0,0,2,0,4,1,0,0
26038,"Moctezuma",1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,0,2,1,2,0,0,1,3,1,0,1,3,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
26041,"Nacozari de García",2,6,1,2,3,5,4,13,6,6,7,4,4,2,6,3,5,7,2,0,4,1,4,8,8,3,1,2,6,3,10,4,1,1,6,1,0,2,1,0,0,2,0,0,1,2,2,2,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,0,3,6,2,2,0,1,0,4,2,3,2,2,1,2,2,4,1,1,0,6,3,2,3,6,4,2,4,4,4,2,4,2,3,1,6,4,4,4,2,0,4,6,9,4,5,4,0,0,2,3,3,2,4,0,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0
26042,"Navojoa",71,54,100,85,48,39,45,210,116,61,40,41,35,44,45,33,36,36,25,27,34,17,26,29,26,22,16,16,19,9,13,16,11,4,8,4,5,11,5,1,5,2,8,6,6,7,1,4,5,1,3,7,5,2,2,3,1,2,2,2,2,1,1,0,1,1,1,1,0,0,2,0,2,0,1,0,1,0,0,0,0,0,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,3,2,6,4,8,6,8,7,3,7,16,11,16,26,18,10,17,16,49,33,26,31,29,36,42,37,48,39,25,14,23,18,22,26,16,11,9,11,13,11,12,6,11,8,5,4,4,5,3,2,0,2,4,1,1,1,4,2,0,1,0,0,1,1,0,0,0
