"","fecha_sintomas","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
"483",2021-04-29,91,78,14,64,0,27,16,11,0,0,0,24,3,7,3,0,2,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,5,0
"484",2021-04-30,100,91,22,69,1,30,17,13,0,0,0,28,2,7,2,0,7,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,16,0,1,0
"485",2021-05-01,146,135,26,109,3,33,18,15,1,1,0,31,2,7,3,0,6,1,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,17,0,4,1
"486",2021-05-02,82,66,12,54,1,27,22,5,0,0,0,26,1,5,1,0,7,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,18,0,4,0
"487",2021-05-03,93,80,24,56,5,32,19,13,0,0,0,29,3,9,3,1,16,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,26,0,1,0
"488",2021-05-04,77,71,10,61,0,16,11,5,0,0,0,15,1,5,1,0,4,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,2,0
"489",2021-05-05,86,78,17,61,2,23,15,8,0,0,0,22,1,2,1,0,3,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,16,0,2,0
"490",2021-05-06,104,98,25,73,0,30,9,21,1,0,1,27,3,6,4,0,5,0,17,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,24,1,2,0
"491",2021-05-07,93,87,32,55,0,38,19,19,0,0,0,36,2,8,2,0,8,0,23,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,21,0,7,0
"492",2021-05-08,73,68,21,47,0,26,12,14,2,1,1,24,2,5,4,1,3,1,15,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,16,1,3,1
